mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__l2_regularization,param_regressor__learning_rate,param_regressor__max_depth,param_regressor__max_iter,param_regressor__max_leaf_nodes,param_regressor__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.1602235317230225,0.04860993672650819,0.022655439376831055,0.003759835029057643,0.018075363615520867,0.15816811455503038,8,483,22,16,"{'regressor__l2_regularization': np.float64(0.018075363615520867), 'regressor__learning_rate': np.float64(0.15816811455503038), 'regressor__max_depth': np.int64(8), 'regressor__max_iter': 483, 'regressor__max_leaf_nodes': 22, 'regressor__min_samples_leaf': 16}",-19.471279622295206,-19.33601087694382,-17.87894742225526,-19.886905333389425,-16.766510061407903,-18.667930663258325,1.1675182934797934,1
1.119214916229248,0.05676896557541451,0.02500758171081543,0.00324022819390554,0.8948273504276488,0.18936999364332555,14,314,54,30,"{'regressor__l2_regularization': np.float64(0.8948273504276488), 'regressor__learning_rate': np.float64(0.18936999364332555), 'regressor__max_depth': np.int64(14), 'regressor__max_iter': 314, 'regressor__max_leaf_nodes': 54, 'regressor__min_samples_leaf': 30}",-19.682692569870706,-19.247168611904193,-17.808458453081446,-20.058118230767615,-16.636760059172676,-18.686639584959327,1.2775348281226921,2
0.7861104011535645,0.018646926422051124,0.0173673152923584,0.004549862445439061,0.5309345833171364,0.1443349493719275,14,346,18,20,"{'regressor__l2_regularization': np.float64(0.5309345833171364), 'regressor__learning_rate': np.float64(0.1443349493719275), 'regressor__max_depth': np.int64(14), 'regressor__max_iter': 346, 'regressor__max_leaf_nodes': 18, 'regressor__min_samples_leaf': 20}",-19.387553766301284,-19.702499774668556,-17.99842944653484,-19.706354760016254,-16.70355329137778,-18.699678207779744,1.1805495387216667,3
0.5138565540313721,0.06079541233648932,0.013850116729736328,0.004636179718150009,0.6957843993450822,0.0785650065391899,12,211,16,10,"{'regressor__l2_regularization': np.float64(0.6957843993450822), 'regressor__learning_rate': np.float64(0.0785650065391899), 'regressor__max_depth': np.int64(12), 'regressor__max_iter': 211, 'regressor__max_leaf_nodes': 16, 'regressor__min_samples_leaf': 10}",-19.549296340668654,-19.50956085375029,-17.995898464397,-19.57169594204994,-16.914146001923967,-18.708119520557972,1.07900423608034,4
0.8392810344696044,0.028090110581345477,0.01567683219909668,0.0023437857402014246,0.8599404067363206,0.2140922615763339,,266,32,13,"{'regressor__l2_regularization': np.float64(0.8599404067363206), 'regressor__learning_rate': np.float64(0.2140922615763339), 'regressor__max_depth': None, 'regressor__max_iter': 266, 'regressor__max_leaf_nodes': 32, 'regressor__min_samples_leaf': 13}",-19.592766157151463,-19.407631782919207,-17.889430207025647,-19.888729178012053,-16.76543668902738,-18.70879880282715,1.1924783192156994,5
0.4049949645996094,0.011340333219613533,0.011137676239013673,0.0031515266043189325,0.49724850589238545,0.1002634929450309,,180,16,11,"{'regressor__l2_regularization': np.float64(0.49724850589238545), 'regressor__learning_rate': np.float64(0.1002634929450309), 'regressor__max_depth': None, 'regressor__max_iter': 180, 'regressor__max_leaf_nodes': 16, 'regressor__min_samples_leaf': 11}",-19.58623360319609,-19.255135453365018,-18.328887306789714,-19.408492133227057,-16.98147813775633,-18.71204532686684,0.9680767579521709,6
1.193517017364502,0.04980700281622929,0.021030998229980467,0.003389184678449023,0.9737555188414592,0.07983140212909126,14,274,58,12,"{'regressor__l2_regularization': np.float64(0.9737555188414592), 'regressor__learning_rate': np.float64(0.07983140212909126), 'regressor__max_depth': np.int64(14), 'regressor__max_iter': 274, 'regressor__max_leaf_nodes': 58, 'regressor__min_samples_leaf': 12}",-19.33189121823725,-19.33181383167015,-18.445546953228433,-19.848611914213393,-16.632750884793218,-18.71812296042849,1.1361696711239146,7
0.759891939163208,0.029845571087698648,0.01650581359863281,0.005339277423739635,0.28093450968738076,0.17280882494747454,,256,29,10,"{'regressor__l2_regularization': np.float64(0.28093450968738076), 'regressor__learning_rate': np.float64(0.17280882494747454), 'regressor__max_depth': None, 'regressor__max_iter': 256, 'regressor__max_leaf_nodes': 29, 'regressor__min_samples_leaf': 10}",-19.496209955895228,-19.178013085463757,-18.122221028148893,-19.87426812711819,-16.996050376177926,-18.7333525145608,1.046237386811042,8
0.7811031818389893,0.03413896420664055,0.017401981353759765,0.0048886906954808615,0.47537022318211175,0.17898267159291512,8,321,51,32,"{'regressor__l2_regularization': np.float64(0.47537022318211175), 'regressor__learning_rate': np.float64(0.17898267159291512), 'regressor__max_depth': np.int64(8), 'regressor__max_iter': 321, 'regressor__max_leaf_nodes': 51, 'regressor__min_samples_leaf': 32}",-19.597376190584228,-19.269678430485495,-18.134986774662263,-19.89434655963562,-16.801357705812705,-18.739549132236064,1.1377647457081392,9
0.4867832183837891,0.025425588140652298,0.010145759582519532,0.0004519329815693512,0.24398964337908358,0.30190316642573367,11,150,22,36,"{'regressor__l2_regularization': np.float64(0.24398964337908358), 'regressor__learning_rate': np.float64(0.30190316642573367), 'regressor__max_depth': np.int64(11), 'regressor__max_iter': 150, 'regressor__max_leaf_nodes': 22, 'regressor__min_samples_leaf': 36}",-19.61683484272284,-19.46200644055138,-18.068785807837262,-19.752097285582312,-16.81884299495029,-18.743713474328818,1.136290221505742,10
