mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__l2_regularization,param_regressor__learning_rate,param_regressor__max_depth,param_regressor__max_iter,param_regressor__max_leaf_nodes,param_regressor__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.4120213508605957,0.02222667393613716,0.016803884506225587,0.0050145148510001665,0.3745401188473625,0.2952142919229748,7,171,35,48,"{'regressor__l2_regularization': np.float64(0.3745401188473625), 'regressor__learning_rate': np.float64(0.2952142919229748), 'regressor__max_depth': np.int64(7), 'regressor__max_iter': 171, 'regressor__max_leaf_nodes': 35, 'regressor__min_samples_leaf': 48}",-20.16190593841298,-20.15665094327267,-18.566656045491268,-20.049933696312003,-16.99572059041664,-19.18617344278111,1.2507475973631548,38
0.49244256019592286,0.028873467861312258,0.013870859146118164,0.003312032157968045,0.44583275285359114,0.039992474745400866,7,187,50,49,"{'regressor__l2_regularization': np.float64(0.44583275285359114), 'regressor__learning_rate': np.float64(0.039992474745400866), 'regressor__max_depth': np.int64(7), 'regressor__max_iter': 187, 'regressor__max_leaf_nodes': 50, 'regressor__min_samples_leaf': 49}",-21.304471152811583,-20.530059054671145,-19.664869354538297,-19.917427892747778,-17.505102909308583,-19.784386072815476,1.2723052273366586,48
1.4763484001159668,0.03368872070570516,0.026078128814697267,0.004960533683142865,0.7080725777960455,0.016175348288740735,11,443,58,39,"{'regressor__l2_regularization': np.float64(0.7080725777960455), 'regressor__learning_rate': np.float64(0.016175348288740735), 'regressor__max_depth': np.int64(11), 'regressor__max_iter': 443, 'regressor__max_leaf_nodes': 58, 'regressor__min_samples_leaf': 39}",-20.78098884289821,-20.20418219972113,-19.23302778750405,-20.336198874467907,-17.114573963485377,-19.533794333615333,1.3108664918060502,46
0.5149873733520508,0.030637682830253116,0.01312117576599121,0.0017744151338373998,0.21233911067827616,0.06454749016213018,7,260,26,31,"{'regressor__l2_regularization': np.float64(0.21233911067827616), 'regressor__learning_rate': np.float64(0.06454749016213018), 'regressor__max_depth': np.int64(7), 'regressor__max_iter': 260, 'regressor__max_leaf_nodes': 26, 'regressor__min_samples_leaf': 31}",-20.316118134076145,-20.224188331988344,-18.8154889275528,-19.886993667203036,-17.021325063619766,-19.25282282488802,1.2367023664950203,42
0.5276328086853027,0.02822810813217741,0.010108709335327148,0.002630192883929705,0.007066305219717406,0.01691872751242473,7,158,56,37,"{'regressor__l2_regularization': np.float64(0.007066305219717406), 'regressor__learning_rate': np.float64(0.01691872751242473), 'regressor__max_depth': np.int64(7), 'regressor__max_iter': 158, 'regressor__max_leaf_nodes': 56, 'regressor__min_samples_leaf': 37}",-21.422510620920473,-20.737077688022048,-19.93591904905428,-20.298330018945638,-17.500049465828067,-19.9787773685541,1.3347230294086323,49
0.6085306167602539,0.05973778014634485,0.010688257217407227,0.0008997064084042137,0.9737555188414592,0.07983140212909126,6,274,58,12,"{'regressor__l2_regularization': np.float64(0.9737555188414592), 'regressor__learning_rate': np.float64(0.07983140212909126), 'regressor__max_depth': np.int64(6), 'regressor__max_iter': 274, 'regressor__max_leaf_nodes': 58, 'regressor__min_samples_leaf': 12}",-19.321825435214777,-19.681147585011082,-18.360134453521784,-19.595491822488416,-16.874777400089112,-18.766675339265035,1.0560247330602264,11
0.8767533302307129,0.01236490648606048,0.01732468605041504,0.004884166122448792,0.8599404067363206,0.2140922615763339,,266,32,13,"{'regressor__l2_regularization': np.float64(0.8599404067363206), 'regressor__learning_rate': np.float64(0.2140922615763339), 'regressor__max_depth': None, 'regressor__max_iter': 266, 'regressor__max_leaf_nodes': 32, 'regressor__min_samples_leaf': 13}",-19.592766157151463,-19.407631782919207,-17.889430207025647,-19.888729178012053,-16.76543668902738,-18.70879880282715,1.1924783192156994,2
1.3079519271850586,0.041738365004637616,0.018470382690429686,0.0012594067415734593,0.9422017556848528,0.17898646535366178,11,364,40,11,"{'regressor__l2_regularization': np.float64(0.9422017556848528), 'regressor__learning_rate': np.float64(0.17898646535366178), 'regressor__max_depth': np.int64(11), 'regressor__max_iter': 364, 'regressor__max_leaf_nodes': 40, 'regressor__min_samples_leaf': 11}",-19.685261093443568,-19.652055769492534,-18.129700525533092,-19.953430410351192,-16.868076385767218,-18.85770483691752,1.183644283143869,20
0.8414881229400635,0.06325739342552734,0.03360586166381836,0.018946122285074477,0.6842330265121569,0.1420457481218804,8,363,49,23,"{'regressor__l2_regularization': np.float64(0.6842330265121569), 'regressor__learning_rate': np.float64(0.1420457481218804), 'regressor__max_depth': np.int64(8), 'regressor__max_iter': 363, 'regressor__max_leaf_nodes': 49, 'regressor__min_samples_leaf': 23}",-19.43333937510594,-19.27565386288212,-18.381132687185858,-20.06097689488423,-16.71758873273761,-18.773738310559153,1.159816038936365,12
0.2713189125061035,0.013035654137662615,0.0077610969543457035,0.0012679819002027754,0.3910606075732408,0.0646708263364187,8,101,20,13,"{'regressor__l2_regularization': np.float64(0.3910606075732408), 'regressor__learning_rate': np.float64(0.0646708263364187), 'regressor__max_depth': np.int64(8), 'regressor__max_iter': 101, 'regressor__max_leaf_nodes': 20, 'regressor__min_samples_leaf': 13}",-19.989243985217033,-19.79450580420935,-18.51034566894578,-19.700355126419968,-17.188837551616658,-19.03665762728176,1.0595935360766986,34
