compound_name,species,strain,dosage,age_at_initiation,treatment_duration,avg_lifespan_change_percent,avg_lifespan_significance,max_lifespan_change_percent,max_lifespan_significance,gender,weight_change_percent,weight_change_significance,ITP,pubmed_id,LogP,TPSA,MolWt,NumHDonors,NumHAcceptors
Rhodiola rosea extract,Drosophila melanogaster,w1118,,,,40.0,S,,,Female,,,No,23704949,,,,,
Rhodiola rosea extract,Drosophila melanogaster,w1118,,,,36.0,S,,,Male,,,No,23704949,,,,,
Myriocin,Saccharomyces cerevisiae,DBY746,600 ng/ml,,,,,,,Unknown,,,No,23725375,2.3089999999999997,141.07999999999998,401.5440000000001,5.0,6.0
Myriocin,Saccharomyces cerevisiae,BY4741,600 ng/ml,,,,,,,Unknown,,,No,23725375,2.3089999999999997,141.07999999999998,401.5440000000001,5.0,6.0
Myricetin,Caenorhabditis elegans,N2,100 µM,,,32.9,S,,,Unknown,,,No,23736695,1.6936000000000004,151.58999999999997,318.23699999999997,6.0,8.0
Protocatechuic acid,Caenorhabditis elegans,N2,100 µM,,,23.0,S,25.0,,Unknown,,,No,23780797,0.7959999999999998,77.76,154.12099999999998,3.0,3.0
Protocatechuic acid,Caenorhabditis elegans,N2,200 µM,,,38.9,S,40.0,,Unknown,,,No,23780797,0.7959999999999998,77.76,154.12099999999998,3.0,3.0
Epigallocatechin-3-gallate,Rattus norvegicus,Wistar,25 mg per kg per day ,,,13.0,S,,,Unknown,,,No,23834676,2.2332000000000014,197.36999999999998,458.37500000000017,8.0,11.0
Apple extract,Caenorhabditis elegans,N2,10 mg/ml,,,39.0,S,25.0,,Unknown,,,No,23878618,,,,,
Metformin,Mus musculus,B6C3F1,1000 ppm food,12 months,until death,4.0,NS,,,Male,,,No,23900241,-1.243829999999999,91.49,129.167,3.0,1.0
Metformin,Mus musculus,C57BL/6J,10000 ppm food,12 months,until death,-14.0,S,,,Male,,,No,23900241,-1.243829999999999,91.49,129.167,3.0,1.0
Metformin,Mus musculus,C57BL/6J,1000 ppm food,12 months,until death,6.0,S,,,Male,-7.0,S,No,23900241,-1.243829999999999,91.49,129.167,3.0,1.0
Minocycline,Drosophila melanogaster,Oregon,0.05 mM,,,63.0,,,,Male,,,No,23947005,0.030000000000001803,164.63,457.4830000000002,5.0,9.0
Electrolyzed reduced water,Caenorhabditis elegans,N2,,,,17.5,S,10.7,,Unknown,,,No,23959012,,,,,
