compound_name,species,strain,dosage,age_at_initiation,treatment_duration,avg_lifespan_change_percent,avg_lifespan_significance,max_lifespan_change_percent,max_lifespan_significance,gender,weight_change_percent,weight_change_significance,ITP,pubmed_id,dosage_value,dose_g_per_L,dose_g_per_kg,dose_iu,dose_mg,dose_mg_per_100ml,dose_mg_per_L,dose_mg_per_kg,dose_mg_per_ml,dose_missing,dose_molarity,dose_ng_per_ml,dose_percent,dose_ppm,dose_unknown,dose_µg_per_ml
Ethanol,Drosophila mojavensis,A300,4%,,,81.29,,,,Male,,,No,13369,0.00019999999999999998,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Ethanol,Drosophila mojavensis,A300,2%,,,50.66,,,,Male,,,No,13369,0.00019999999999999998,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Ethanol,Drosophila mojavensis,A300,4%,,,71.03,,,,Female,,,No,13369,0.00019999999999999998,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Ethanol,Drosophila mojavensis,A300,2%,,,123.26,,,,Female,,,No,13369,0.00019999999999999998,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Ethanol,Drosophila mojavensis,A512d,4%,,,20.88,,,,Male,,,No,13369,0.00019999999999999998,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Ethanol,Drosophila mojavensis,A512d,2%,,,83.67,,,,Male,,,No,13369,0.00019999999999999998,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Ethanol,Drosophila mojavensis,A512d,4%,,,57.39,,,,Female,,,No,13369,0.00019999999999999998,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Ethanol,Drosophila mojavensis,A512d,2%,,,80.71,,,,Female,,,No,13369,0.00019999999999999998,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Ethanol,Drosophila mojavensis,A361,4%,,,37.39,,,,Male,,,No,13369,0.00019999999999999998,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Ethanol,Drosophila mojavensis,A361,2%,,,62.6,,,,Male,,,No,13369,0.00019999999999999998,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Ethanol,Drosophila mojavensis,A361,4%,,,119.56,,,,Female,,,No,13369,0.00019999999999999998,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Ethanol,Drosophila mojavensis,A361,2%,,,145.62,,,,Female,,,No,13369,0.00019999999999999998,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Ethanol,Drosophila mojavensis,A514,4%,,,70.77,,,,Male,,,No,13369,0.00019999999999999998,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Ethanol,Drosophila mojavensis,A514,2%,,,92.26,,,,Male,,,No,13369,0.00019999999999999998,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Ethanol,Drosophila mojavensis,A514,4%,,,124.24,,,,Female,,,No,13369,0.00019999999999999998,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Ethanol,Drosophila mojavensis,A514,2%,,,94.33,,,,Female,,,No,13369,0.00019999999999999998,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Ethanol,Drosophila mojavensis,A316b,4%,,,42.69,,,,Male,,,No,13369,0.00019999999999999998,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Ethanol,Drosophila mojavensis,A316b,2%,,,70.77,,,,Male,,,No,13369,0.00019999999999999998,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Ethanol,Drosophila mojavensis,A316b,4%,,,52.04,,,,Female,,,No,13369,0.00019999999999999998,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Ethanol,Drosophila mojavensis,A316b,2%,,,105.71,,,,Female,,,No,13369,0.00019999999999999998,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Ethanol,Drosophila mojavensis,A572,4%,,,55.38,,,,Male,,,No,13369,0.00019999999999999998,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Ethanol,Drosophila mojavensis,A572,2%,,,52.76,,,,Male,,,No,13369,0.00019999999999999998,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Ethanol,Drosophila mojavensis,A572,4%,,,74.94,,,,Female,,,No,13369,0.00019999999999999998,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Ethanol,Drosophila mojavensis,A572,2%,,,103.88,,,,Female,,,No,13369,0.00019999999999999998,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Ethanol,Drosophila mojavensis,A374,4%,,,29.7,,,,Male,,,No,13369,0.00019999999999999998,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Ethanol,Drosophila mojavensis,A374,2%,,,67.08,,,,Male,,,No,13369,0.00019999999999999998,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Ethanol,Drosophila mojavensis,A374,4%,,,19.75,,,,Female,,,No,13369,0.00019999999999999998,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Ethanol,Drosophila mojavensis,A374,2%,,,58.11,,,,Female,,,No,13369,0.00019999999999999998,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Ethanol,Drosophila mojavensis,A429,4%,,,66.34,,,,Male,,,No,13369,0.00019999999999999998,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Ethanol,Drosophila mojavensis,A429,2%,,,100.38,,,,Male,,,No,13369,0.00019999999999999998,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Ethanol,Drosophila mojavensis,A429,4%,,,-1.96,,,,Female,,,No,13369,0.00019999999999999998,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Ethanol,Drosophila mojavensis,A429,2%,,,2.51,,,,Female,,,No,13369,0.00019999999999999998,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Ethanol,Drosophila mojavensis,A376,4%,,,36.14,,,,Male,,,No,13369,0.00019999999999999998,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Ethanol,Drosophila mojavensis,A376,2%,,,75.73,,,,Male,,,No,13369,0.00019999999999999998,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Ethanol,Drosophila mojavensis,A376,4%,,,31.53,,,,Female,,,No,13369,0.00019999999999999998,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Ethanol,Drosophila mojavensis,A376,2%,,,101.79,,,,Female,,,No,13369,0.00019999999999999998,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Ethanol,Drosophila mojavensis,A422,4%,,,23.15,,,,Male,,,No,13369,0.00019999999999999998,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Ethanol,Drosophila mojavensis,A422,2%,,,69.04,,,,Male,,,No,13369,0.00019999999999999998,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Ethanol,Drosophila mojavensis,A422,4%,,,47.75,,,,Female,,,No,13369,0.00019999999999999998,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Ethanol,Drosophila mojavensis,A422,2%,,,37.7,,,,Female,,,No,13369,0.00019999999999999998,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Ethanol,Drosophila mojavensis,A428,4%,,,48.71,,,,Male,,,No,13369,0.00019999999999999998,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Ethanol,Drosophila mojavensis,A428,2%,,,66.66,,,,Male,,,No,13369,0.00019999999999999998,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
